BCS_Solar,BCS_Eolica,BCA_Solar,BCA_Eolica,SIN_Solar,SIN_Eolica
{'electricity': 0.0},{'electricity': 0.817},{'electricity': 0.0},{'electricity': 0.264},{'electricity': 0.0},{'electricity': 0.643}
{'electricity': 0.0},{'electricity': 0.858},{'electricity': 0.0},{'electricity': 0.277},{'electricity': 0.0},{'electricity': 0.628}
{'electricity': 0.0},{'electricity': 0.763},{'electricity': 0.0},{'electricity': 0.289},{'electricity': 0.0},{'electricity': 0.663}
{'electricity': 0.0},{'electricity': 0.615},{'electricity': 0.0},{'electricity': 0.298},{'electricity': 0.0},{'electricity': 0.674}
{'electricity': 0.0},{'electricity': 0.567},{'electricity': 0.0},{'electricity': 0.308},{'electricity': 0.0},{'electricity': 0.663}
{'electricity': 0.0},{'electricity': 0.612},{'electricity': 0.0},{'electricity': 0.309},{'electricity': 0.0},{'electricity': 0.625}
{'electricity': 0.0},{'electricity': 0.642},{'electricity': 0.0},{'electricity': 0.294},{'electricity': 0.0},{'electricity': 0.605}
{'electricity': 0.0},{'electricity': 0.635},{'electricity': 0.0},{'electricity': 0.278},{'electricity': 0.0},{'electricity': 0.574}
{'electricity': 0.0},{'electricity': 0.636},{'electricity': 0.0},{'electricity': 0.248},{'electricity': 0.0},{'electricity': 0.55}
{'electricity': 0.0},{'electricity': 0.648},{'electricity': 0.0},{'electricity': 0.239},{'electricity': 0.0},{'electricity': 0.544}
